,Household_ID,Zone,Household_Size,Distribution_Date,Ration_Type,Ration_Amount_Kg,Satisfaction_Rating,Rice_Kg,Vegetable_Oil_L
0,HH0001,Kakuma 4,4.0,2025-06-10,,44.9,,35.5,2.5
1,HH0002,Kalobeyei,4.0,2025-06-06,Cash Transfer,46.6,Satisfied,34.8,4.6
2,HH0003,Kakuma 3,5.0,2025-06-18,E-Voucher,44.4,Very Unsatisfied,31.9,2.6
3,HH0004,Kalobeyei,8.0,2025-06-13,Cash Transfer,31.4,Unsatisfied,24.4,2.6
4,HH0005,,5.0,2025-06-03,Dry Rations,,Very Unsatisfied,,2.3
5,HH0006,Kakuma 2,,2025-06-30,E-Voucher,25.4,,16.5,2.2
6,HH0007,Kakuma 3,1.0,2025-06-24,Cash Transfer,44.9,Unsatisfied,,4.0
7,HH0008,,9.0,2025-06-10,Cash Transfer,57.0,Very Unsatisfied,36.8,4.8
8,HH0009,Kakuma 3,6.0,2025-06-30,Cash Transfer,21.8,Very Unsatisfied,16.3,1.8
9,HH0010,Kalobeyei,3.0,2025-06-14,Cash Transfer,32.4,Satisfied,25.4,3.1
10,HH0011,Kakuma 4,8.0,2025-06-06,Cash Transfer,38.2,Very Unsatisfied,,
11,HH0012,Kakuma 3,9.0,2025-06-03,E-Voucher,41.7,Satisfied,27.9,2.8
12,HH0013,Kalobeyei,6.0,2025-06-16,E-Voucher,48.8,Satisfied,38.7,3.0
13,HH0014,Kakuma 2,7.0,2025-06-07,E-Voucher,38.5,Satisfied,26.5,3.8
14,HH0015,Kakuma 4,1.0,2025-06-20,E-Voucher,36.8,Unsatisfied,25.7,2.6
15,HH0016,Kakuma 2,5.0,2025-06-14,Dry Rations,51.0,Unsatisfied,34.2,4.4
16,HH0017,Kakuma 4,5.0,,E-Voucher,46.6,Very Unsatisfied,36.4,3.9
17,HH0018,,4.0,2025-06-15,Cash Transfer,45.4,Unsatisfied,32.4,2.8
18,HH0019,Kakuma 1,6.0,2025-06-21,Cash Transfer,,Very Unsatisfied,30.9,2.5
19,HH0020,Kakuma 4,,2025-06-03,E-Voucher,49.8,Unsatisfied,38.0,3.2
20,HH0021,Kakuma 2,9.0,2025-06-02,Cash Transfer,33.4,Very Satisfied,22.3,2.4
21,HH0022,Kalobeyei,1.0,2025-06-27,E-Voucher,32.1,Very Satisfied,22.0,2.0
22,HH0023,Kakuma 4,6.0,2025-06-02,Cash Transfer,47.5,Very Unsatisfied,36.6,2.4
23,HH0024,,7.0,2025-06-03,Dry Rations,23.7,Unsatisfied,15.9,2.2
24,HH0025,Kakuma 1,3.0,2025-06-18,Dry Rations,40.9,Unsatisfied,31.0,4.0
25,HH0026,Kakuma 3,8.0,2025-06-14,E-Voucher,36.8,Satisfied,29.0,2.5
26,HH0027,Kakuma 3,5.0,2025-06-20,E-Voucher,25.9,Neutral,18.8,1.7
27,HH0028,Kakuma 2,9.0,2025-06-18,,30.7,Very Unsatisfied,23.0,1.5
28,HH0029,Kakuma 4,5.0,2025-06-10,Cash Transfer,38.9,Neutral,29.6,3.3
29,HH0030,Kakuma 4,,2025-06-25,E-Voucher,50.3,Neutral,38.7,4.6
30,HH0031,Kakuma 3,4.0,2025-06-02,Dry Rations,33.5,Very Unsatisfied,22.7,1.9
31,HH0032,Kakuma 4,9.0,2025-06-25,Cash Transfer,52.1,Unsatisfied,31.8,3.0
32,HH0033,Kakuma 4,5.0,2025-06-29,E-Voucher,,Very Unsatisfied,,3.6
33,HH0034,,9.0,2025-06-22,Cash Transfer,53.1,,39.0,4.3
34,HH0035,Kakuma 3,3.0,2025-06-01,Cash Transfer,34.0,Unsatisfied,23.5,1.8
35,HH0036,,4.0,,E-Voucher,39.5,Very Satisfied,29.6,3.2
36,HH0037,Kakuma 3,9.0,2025-07-01,,43.7,Very Unsatisfied,29.3,
37,HH0038,Kalobeyei,6.0,2025-06-14,Dry Rations,38.2,Very Unsatisfied,27.8,2.6
38,HH0039,Kakuma 1,2.0,2025-06-01,Dry Rations,49.5,Unsatisfied,31.5,4.4
39,HH0040,,7.0,2025-06-14,Cash Transfer,,Very Satisfied,13.4,1.6
40,HH0041,Kakuma 4,2.0,2025-06-16,E-Voucher,64.2,Very Satisfied,,4.5
41,HH0042,Kakuma 1,2.0,,Cash Transfer,48.6,Unsatisfied,31.1,4.7
42,HH0043,Kakuma 4,,2025-06-14,Dry Rations,38.3,Satisfied,25.2,2.7
43,HH0044,Kakuma 2,3.0,2025-06-29,Cash Transfer,34.5,Very Unsatisfied,25.9,
44,HH0045,Kakuma 2,,2025-06-20,,31.3,Very Unsatisfied,21.8,2.3
45,HH0046,Kakuma 1,,2025-06-03,Dry Rations,46.5,Neutral,29.9,4.4
46,HH0047,Kakuma 2,9.0,2025-06-03,Cash Transfer,49.9,Unsatisfied,39.6,4.8
47,HH0048,Kalobeyei,7.0,2025-06-09,Cash Transfer,38.4,Neutral,,2.1
48,HH0049,Kakuma 2,4.0,2025-06-06,E-Voucher,51.1,,40.4,4.9
49,HH0050,Kakuma 4,6.0,2025-06-25,E-Voucher,30.9,Very Satisfied,21.2,2.8
50,HH0051,Kakuma 4,5.0,2025-06-13,Dry Rations,29.2,Very Unsatisfied,20.3,2.6
51,HH0052,Kakuma 4,,2025-06-21,,58.1,Neutral,45.3,3.5
52,HH0053,Kakuma 4,1.0,2025-06-02,Dry Rations,45.9,Very Satisfied,32.4,4.1
53,HH0054,Kalobeyei,1.0,2025-06-08,E-Voucher,54.0,,40.0,5.0
54,HH0055,Kakuma 3,6.0,2025-06-21,Dry Rations,,Neutral,20.5,2.0
55,HH0056,Kakuma 1,2.0,2025-06-02,Dry Rations,30.8,Very Unsatisfied,21.2,3.0
56,HH0057,Kakuma 4,5.0,2025-06-04,Dry Rations,36.4,Neutral,22.7,1.9
57,HH0058,Kakuma 2,1.0,2025-06-25,E-Voucher,31.8,Unsatisfied,20.4,1.8
58,HH0059,Kakuma 4,7.0,2025-06-15,Cash Transfer,47.1,Neutral,28.3,3.6
59,HH0060,Kakuma 2,1.0,2025-06-04,Dry Rations,32.5,Very Unsatisfied,19.8,
60,HH0061,Kakuma 2,4.0,2025-06-13,Cash Transfer,28.3,Very Satisfied,,2.3
61,HH0062,Kakuma 4,9.0,2025-06-28,Dry Rations,41.4,Very Unsatisfied,26.8,2.1
62,HH0063,Kalobeyei,1.0,2025-06-12,,27.1,Very Satisfied,19.9,2.7
63,HH0064,Kakuma 2,4.0,2025-06-28,,22.0,Satisfied,16.9,1.1
64,HH0065,Kakuma 2,6.0,2025-06-13,E-Voucher,41.3,,29.3,2.4
65,HH0066,Kakuma 4,6.0,,Dry Rations,22.5,Very Unsatisfied,14.2,1.1
66,HH0067,Kakuma 2,8.0,2025-06-14,Cash Transfer,47.8,Unsatisfied,35.6,3.7
67,HH0068,Kakuma 2,1.0,2025-06-20,E-Voucher,26.0,Neutral,18.7,2.5
68,HH0069,Kakuma 4,7.0,2025-06-18,Dry Rations,17.6,Very Satisfied,13.1,1.5
69,HH0070,Kakuma 4,1.0,2025-06-29,Dry Rations,37.1,Very Satisfied,28.0,3.4
70,HH0071,Kakuma 1,7.0,2025-06-28,E-Voucher,41.4,Unsatisfied,32.9,2.1
71,HH0072,Kalobeyei,3.0,2025-07-01,E-Voucher,44.9,Unsatisfied,32.1,3.5
72,HH0073,Kalobeyei,8.0,2025-06-06,Dry Rations,,Neutral,27.9,3.0
73,HH0074,Kakuma 2,3.0,2025-06-29,Cash Transfer,29.4,Neutral,21.5,2.2
74,HH0075,Kalobeyei,1.0,2025-06-11,Cash Transfer,47.1,Very Unsatisfied,28.9,2.5
75,HH0076,Kakuma 2,8.0,2025-06-30,Cash Transfer,49.6,Satisfied,38.7,4.2
76,HH0077,Kakuma 1,3.0,2025-06-02,Dry Rations,27.9,Neutral,17.4,2.1
77,HH0078,Kakuma 4,2.0,2025-06-28,E-Voucher,38.2,Unsatisfied,25.4,
78,HH0079,Kakuma 4,1.0,2025-06-23,Dry Rations,37.3,Neutral,28.5,2.8
79,HH0080,Kakuma 4,3.0,2025-06-19,,42.2,Very Satisfied,30.4,2.4
80,HH0081,Kalobeyei,2.0,2025-07-01,Cash Transfer,38.0,Satisfied,25.8,3.1
